1,"The Washington D.C. Temple","Washington D.C.","Watercolor painting of the LDS temple located in Washington D.C.",https://image.ibb.co/cKXkGQ/WashDC.jpg2,
2,"The Sydney, Australia Temple","Sydney, Australia","Watercolor painting of the LDS temple located in Sydney, Australia",https://image.ibb.co/iMQi35/Sydney.jpg
3,"The St. George, Utah Temple","St. George, Utah","Watercolor painting of the LDS temple located in St. George, Utah",https://image.ibb.co/nLqGO5/StGeorge.jpg
4,"The Seattle, Washington Temple","Seattle, Washington","Watercolor painting of the LDS temple located in Seattle, Washington",https://image.ibb.co/iC9Ai5/Seattle.jpg
5,"The Santo Domingo, Dominican Republic Temple","Santo Domingo, Dominican Republic","Watercolor painting of the LDS temple located in Santo Doimingo, Dominican Republic. My oldest granson served his mission in this country.",https://image.ibb.co/eSXKbQ/Santo_Domingo_DR.jpg
6,"The San Diego, California Temple","San Diego, California","Watercolor painting of the LDS temple located in San Diego, California",https://image.ibb.co/dQ2KbQ/SanDiego.jpg
7,"The Salt Lake City, Utah Temple","Salt Lake City, Utah","Watercolor painting of the LDS temple located in Salt Lake City, Utah",https://image.ibb.co/mEASVk/SaltLake.jpg
8,"The Reno, Nevada Temple","Reno, Nevada","Watercolor painting of the LDS temple located in Reno, Nevada",https://image.ibb.co/ghckGQ/Reno.jpg
9,"The Preston, England Temple","Preston, England","Watercolor painting of the LDS temple located in Preston, England",https://image.ibb.co/jXKMqk/Preston_England.jpg
10,"The Portland, Oregon Temple","Portland, Oregon","Watercolor painting of the LDS temple located in Portland, Oregon",https://image.ibb.co/dqKzbQ/Portland.jpg
11,"The Palmyra, New York Temple","Palmyra, New York","Watercolor painting of the LDS temple located in Palmyra, New York",https://image.ibb.co/dT7Vi5/Palmyra.jpg
12,"The Orlando, Florida Temple","Orlando, Florida","Watercolor painting of the LDS temple located in St. George, Utah",https://image.ibb.co/g2fSVk/Orlando.jpg
13,"The Oquirrh Mountain, Temple","South Jordan, Utah","Watercolor painting of the Oquirrh Mountain LDS temple located in South Jordan, Utah",https://image.ibb.co/megqi5/Oquirrh_Mountain.jpg
14,"The Old Ogden, Utah Temple","Ogden, Utah","Watercolor painting of the former LDS temple located in Ogden, Utah",https://image.ibb.co/deRCwQ/OldOgden.jpg
15,"The Oakland, California Temple","Oakland, California","Watercolor painting of the LDS temple located in Oakland, California",https://image.ibb.co/dOE2fk/Oakland.jpg
16"The Nashville, Tennessee Temple","Nashville, Tennessee","Watercolor painting of the LDS temple located in Nashville, Tennessee",https://image.ibb.co/kR4Pt5/Nashville.jpg
17,"The Manhattan, New York","Manhattan, New York","Watercolor painting of the LDS temple located in Manhattan, New York",https://image.ibb.co/nqBhfk/Manhattan.jpg
18,"The Chicago, Illinois Temple","Chicago, Illinois","Watercolor painting of the LDS temple located in Chicago, Illinois",https://image.ibb.co/b1FVY5/Chicago.jpg
19,"The Billings, Montana Temple","Billings, Montana","Watercolor painting of the LDS temple located in Billings, Montana",https://image.ibb.co/gG4Pt5/Billings.jpg
20,"The Bountiful, Utah Temple","Bountiful, Utah","Watercolor painting of the LDS temple located in Bountiful, Utah",https://image.ibb.co/mcZDmQ/Bountiful.jpg
21,"The Newport Beach, California Temple","Newport Beach, California","Watercolor painting of the LDS temple located in Newport, California",https://image.ibb.co/iAg1qk/New_Port_Beach.jpg
22,"The Nauvoo, Illinois Temple","Nauvoo, Illinois","Watercolor painting of the LDS temple located in Nauvoo, Illinois",https://image.ibb.co/hbKAi5/Nauvoo.jpg
23,"The Mt. Timpanogos Temple","American Fork, Utah","Watercolor painting of the Mt. Timpanogos LDS temple located in American Fork, Utah. ",https://image.ibb.co/hDMO35/MtTimp.jpg
24,"Angel Moroni","Majority of Temples","Watercolor painting of the famous LDS icon Angel Moroni. Angel Moroni is located on the majority of LDS temples, always facing east. ",https://image.ibb.co/moUqY5/Moroni.jpg
25,"Misty Washingotn D.C. Temple,Washington D.C.","A misty watercolor painting of the LDS temple located in Washington D.C.",https://image.ibb.co/hX2oLk/MistyDC.jpg
26,"The Mesa, Arizona Temple","Mesa, Arizona","Watercolor painting of the LDS temple located in Mesa, Arizona",https://image.ibb.co/nCy335/MesaAZ.jpg
27,"The Los Angeles, California","Los Angeles, California","Watercolor painting of the LDS temple located in Los Angeles, California",https://image.ibb.co/dADQGQ/Los_Angeles.jpg
28,"The London, England Temple","London, England","Watercolor painting of the LDS temple located in London, England",https://image.ibb.co/n9ZXwQ/London.jpg
29,"The Logan, Utah Temple","Logan, Utah","Watercolor painting of the LDS temple located in Logan, Utah",https://image.ibb.co/kMnkGQ/Logan.jpg
30,"The Jordan River Temple","South Jordan, Utah","Watercolor painting of the LDS temple located in South Jordan, Utah",https://image.ibb.co/dVH7Vk/Jordan_River.jpg
31,"The Johannesburg, South Africa Temple","Johannesburg, South Africa","Watercolor painting of the LDS temple located in Johannesburg, South Africa",https://image.ibb.co/cL4Ai5/Johannesburg_SA.jpg
32,"The Idaho Falls, Idaho, Temple","Idaho Falls, Idaho","Watercolor painting of the LDS temple located in Idaho Falls, Idaho",https://image.ibb.co/ir5GO5/Idaho_Falls.jpg
33,"The Frankfurt, Germany Temple","Frankfurt, Germany","Watercolor painting of the LDS temple located in Frankfurt, Germany",https://image.ibb.co/gXsf0k/Germany.jpg
34,"The Boise, Idaho Temple","Boise, Idaho","Watercolor painting of the LDS temple located in Boise, Idaho",https://image.ibb.co/fHTgqk/Boise.jpg